frameID,emotion,label
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img31.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img32.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img33.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img34.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img35.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img36.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img37.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img38.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img39.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img40.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img41.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img42.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img43.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img44.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img45.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img46.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img47.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img48.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img49.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img50.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img51.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img52.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img53.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img54.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img55.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img56.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img57.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img58.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img59.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img60.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img61.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img62.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img63.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img64.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img65.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img66.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img67.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img68.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img69.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img70.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img71.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img72.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img73.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img74.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img75.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img76.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img77.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img78.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img79.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img80.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img81.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img82.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img83.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img84.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img85.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img86.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img87.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img88.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img89.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img90.jpg,angry,0
drive/MyDrive/Colab Notebooks/Emotion Detection/angry/img91.jpg,angry,0
